 ! Swift/XRT lightcurve of trigger: 554620, name: GRB 130427A
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00554620
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
558.426	0.652	-0.734	1.694066204e-08	2.129128347e-09	-2.089372004e-09
559.576	0.608	-0.498	2.121656113e-08	2.654159251e-09	-2.617077177e-09
560.748	0.562	-0.564	2.096554315e-08	2.600598884e-09	-2.570495413e-09
561.940	0.552	-0.630	1.970627884e-08	2.479071022e-09	-2.453760303e-09
562.910	0.603	-0.418	2.299079766e-08	2.863803655e-09	-2.836380869e-09
564.125	0.530	-0.612	2.055630661e-08	2.558719647e-09	-2.535836582e-09
565.489	0.715	-0.835	1.498017304e-08	1.88614761e-09	-1.870795726e-09
566.692	0.475	-0.487	2.439315882e-08	3.032276186e-09	-3.008565056e-09
567.733	0.626	-0.566	1.962285079e-08	2.438127318e-09	-2.420065476e-09
568.826	0.536	-0.467	2.325869774e-08	2.888338439e-09	-2.868294855e-09
569.906	0.487	-0.543	2.252847273e-08	2.813414797e-09	-2.795334509e-09
570.971	0.540	-0.579	2.079651764e-08	2.587742423e-09	-2.572335602e-09
572.082	0.531	-0.570	2.125190527e-08	2.626787793e-09	-2.612400314e-09
573.177	0.573	-0.564	2.047086955e-08	2.544421591e-09	-2.531904777e-09
574.361	0.709	-0.611	1.772923656e-08	2.189003662e-09	-2.179304675e-09
575.664	0.532	-0.594	2.084078403e-08	2.563807134e-09	-2.553945742e-09
576.722	0.424	-0.526	2.449606344e-08	3.039978594e-09	-3.029813244e-09
577.687	0.589	-0.541	2.07175046e-08	2.554598971e-09	-2.54675501e-09
578.889	0.707	-0.613	1.766839283e-08	2.191870411e-09	-2.185358572e-09
580.346	0.684	-0.750	1.626544621e-08	2.017748592e-09	-2.01180898e-09
581.713	0.767	-0.683	1.585837106e-08	1.997844155e-09	-1.992197273e-09
583.004	0.477	-0.524	2.328596574e-08	2.888437887e-09	-2.880100295e-09
584.165	0.718	-0.684	1.658989531e-08	2.064121034e-09	-2.058254805e-09
585.515	0.546	-0.631	1.991569708e-08	2.455103653e-09	-2.448079336e-09
586.737	0.644	-0.676	1.741869414e-08	2.194109996e-09	-2.188167176e-09
588.036	0.577	-0.654	1.907030888e-08	2.368901485e-09	-2.362393656e-09
589.307	0.652	-0.695	1.731398502e-08	2.16101306e-09	-2.154747836e-09
590.471	0.570	-0.512	2.165819045e-08	2.698272058e-09	-2.687042053e-09
591.792	0.535	-0.751	1.831662537e-08	2.272227202e-09	-2.258466887e-09
593.020	0.608	-0.692	1.811604116e-08	2.251928582e-09	-2.233746841e-09
594.231	0.636	-0.604	1.900012987e-08	2.367177185e-09	-2.342772726e-09
595.417	0.552	-0.549	2.145444636e-08	2.671831321e-09	-2.637284369e-09
596.615	0.742	-0.646	1.697811544e-08	2.126706307e-09	-2.093491477e-09
598.101	0.706	-0.744	1.620335136e-08	2.043749031e-09	-2.004167925e-09
599.578	0.574	-0.771	1.765654729e-08	2.210298366e-09	-2.157242858e-09
600.992	0.626	-0.840	1.564979492e-08	2.031219786e-09	-1.984773961e-09
602.129	0.423	-0.511	2.572424624e-08	3.202311414e-09	-3.129423248e-09
603.308	0.669	-0.756	1.637872871e-08	2.079994619e-09	-2.038749764e-09
604.705	0.713	-0.728	1.619681506e-08	2.052429478e-09	-2.016250857e-09
606.144	0.571	-0.726	1.830392971e-08	2.273292659e-09	-2.237004164e-09
607.297	0.745	-0.582	1.778650738e-08	2.218578214e-09	-2.187311843e-09
608.819	0.596	-0.777	1.718941036e-08	2.13964377e-09	-2.114135759e-09
609.950	0.725	-0.535	1.857505383e-08	2.322253155e-09	-2.298898113e-09
611.433	0.724	-0.758	1.55590005e-08	1.95161086e-09	-1.937019272e-09
612.949	0.648	-0.791	1.606612515e-08	2.004300255e-09	-1.99331486e-09
614.178	0.570	-0.581	2.031682941e-08	2.499832396e-09	-2.489774514e-09
615.314	0.678	-0.566	1.864709749e-08	2.31385822e-09	-2.30649987e-09
616.616	0.692	-0.625	1.766379737e-08	2.18496078e-09	-2.178106888e-09
618.020	0.692	-0.712	1.642653994e-08	2.050612948e-09	-2.044411082e-09
619.167	0.480	-0.455	2.499060471e-08	3.072036539e-09	-3.06259339e-09
620.312	0.913	-0.665	1.482098807e-08	1.821811571e-09	-1.816292608e-09
621.845	0.850	-0.620	1.579227824e-08	1.959000087e-09	-1.953271401e-09
623.572	0.708	-0.877	1.447464036e-08	1.817766283e-09	-1.812678796e-09
625.022	0.621	-0.742	1.702927101e-08	2.112160032e-09	-2.106236861e-09
626.225	0.482	-0.582	2.181340953e-08	2.705433517e-09	-2.697930005e-09
627.512	0.771	-0.805	1.480615909e-08	1.828923306e-09	-1.82000266e-09
628.842	0.467	-0.558	2.271065104e-08	2.825416326e-09	-2.800310919e-09
630.025	0.592	-0.717	1.777408841e-08	2.220027428e-09	-2.191678733e-09
631.305	0.737	-0.688	1.639524991e-08	2.058646983e-09	-2.02794923e-09
632.834	0.707	-0.791	1.546780909e-08	1.993841373e-09	-1.961678767e-09
634.301	0.775	-0.760	1.531008376e-08	1.945465134e-09	-1.911522489e-09
635.733	0.576	-0.657	1.935633817e-08	2.438087619e-09	-2.398262304e-09
637.134	0.907	-0.825	1.337169387e-08	1.719900228e-09	-1.696165439e-09
638.784	0.704	-0.742	1.648359422e-08	2.052798398e-09	-2.027125576e-09
640.098	0.696	-0.610	1.830910662e-08	2.269774285e-09	-2.245090329e-09
641.444	0.708	-0.650	1.726756927e-08	2.183373221e-09	-2.164078705e-09
642.934	0.636	-0.782	1.6416539e-08	2.04024389e-09	-2.025820722e-09
644.309	0.502	-0.740	1.880384438e-08	2.318346212e-09	-2.306049948e-09
645.464	0.491	-0.653	2.018312398e-08	2.516917803e-09	-2.505804489e-09
646.861	0.916	-0.906	1.270954663e-08	1.580035037e-09	-1.573061246e-09
648.509	0.821	-0.732	1.478150561e-08	1.854646654e-09	-1.846599386e-09
650.042	0.701	-0.712	1.634477203e-08	2.037111679e-09	-2.029214786e-09
651.367	0.447	-0.624	2.15577199e-08	2.680144452e-09	-2.676097961e-09
652.679	0.835	-0.865	1.336489692e-08	1.69240045e-09	-1.689904626e-09
654.130	0.653	-0.617	1.835888676e-08	2.261990474e-09	-2.256741384e-09
655.429	0.510	-0.646	2.016631807e-08	2.487273878e-09	-2.478874933e-09
656.669	0.714	-0.729	1.598077631e-08	1.995661111e-09	-1.988828071e-09
657.989	0.689	-0.606	1.775228203e-08	2.223686152e-09	-2.216179833e-09
659.481	0.833	-0.803	1.420797536e-08	1.757970767e-09	-1.751853512e-09
660.938	0.713	-0.623	1.730690737e-08	2.157446566e-09	-2.147193798e-09
662.202	0.670	-0.551	1.894670464e-08	2.367425805e-09	-2.350647163e-09
663.436	0.683	-0.565	1.878584349e-08	2.325689725e-09	-2.302132178e-09
664.763	0.617	-0.644	1.859436599e-08	2.31696597e-09	-2.285706817e-09
666.131	0.806	-0.751	1.493972818e-08	1.884828721e-09	-1.853581197e-09
667.804	0.857	-0.867	1.349018536e-08	1.698360513e-09	-1.673748336e-09
669.394	0.728	-0.733	1.583178075e-08	1.998604852e-09	-1.976526995e-09
670.807	0.668	-0.685	1.727508e-08	2.14561867e-09	-2.130154907e-09
672.144	0.578	-0.669	1.864803583e-08	2.323114102e-09	-2.313804085e-09
673.456	0.737	-0.734	1.589637784e-08	1.965023909e-09	-1.960425642e-09
674.945	0.829	-0.751	1.449734097e-08	1.818350941e-09	-1.815905242e-09
676.629	0.945	-0.855	1.271063735e-08	1.594572089e-09	-1.59189381e-09
678.224	0.496	-0.650	2.008880477e-08	2.505194167e-09	-2.500133948e-09
679.537	0.752	-0.817	1.491822255e-08	1.826813244e-09	-1.822552218e-09
681.049	0.579	-0.760	1.732723406e-08	2.141499197e-09	-2.136460632e-09
682.298	0.596	-0.669	1.835105523e-08	2.267961765e-09	-2.262699041e-09
683.704	0.849	-0.810	1.382649203e-08	1.729938862e-09	-1.726089262e-09
685.354	0.694	-0.801	1.546608078e-08	1.923171138e-09	-1.918809461e-09
686.762	0.528	-0.714	1.862134928e-08	2.315994748e-09	-2.310275285e-09
688.057	0.919	-0.768	1.371088774e-08	1.706415801e-09	-1.701056837e-09
689.593	0.627	-0.616	1.854224802e-08	2.317467621e-09	-2.307790288e-09
690.958	0.600	-0.738	1.718622642e-08	2.157292181e-09	-2.146024482e-09
692.287	0.680	-0.729	1.655114267e-08	2.049183383e-09	-2.03554818e-09
693.625	0.678	-0.658	1.730736852e-08	2.166110572e-09	-2.149125014e-09
694.922	0.763	-0.619	1.672798367e-08	2.09667261e-09	-2.077921048e-09
696.296	0.695	-0.610	1.777694353e-08	2.213064464e-09	-2.194165334e-09
697.739	0.547	-0.748	1.792294763e-08	2.227826076e-09	-2.211334149e-09
699.082	0.967	-0.796	1.305506427e-08	1.635645316e-09	-1.625321571e-09
700.817	0.862	-0.768	1.416438666e-08	1.767691809e-09	-1.757702498e-09
702.296	0.686	-0.617	1.814381843e-08	2.227095454e-09	-2.214109069e-09
703.861	0.806	-0.879	1.381718883e-08	1.708603256e-09	-1.698806024e-09
705.557	0.643	-0.891	1.505151896e-08	1.876621855e-09	-1.867623415e-09
706.994	0.849	-0.793	1.40220878e-08	1.739795041e-09	-1.734531114e-09
708.673	0.840	-0.830	1.385364374e-08	1.705929789e-09	-1.703202588e-09
710.514	0.826	-1.001	1.252397987e-08	1.561710941e-09	-1.558662539e-09
712.184	0.769	-0.844	1.430204996e-08	1.767478477e-09	-1.76345364e-09
